implementacion,n,segundos,us_por_elemento,memoria_pico_kb,repeticiones,razon_vs_mejor
total() memorizado,146,9e-06,0.0644,,3,1.0
total_sin_cache() recursivo,146,0.001886,12.9171,,3,209.6
